frequency,place,observation_date,modulation,type_signal,radio_service,affiliation,call_sign
26.6050,Иркутск,26 января 2022,NFM,Голос,Сухопутная подвижная,Такси,"8-3, 7-1 и.т.п."
146.8750,Московская обл.,22 января 2022,цифровая,DMR,Сухопутная подвижная,Аэропорт Шереметьево,"Шереметьево-1, цифровые"
146.3375,Заринск,25 мая 2021,NFM,Голос,Сухопутная подвижная,Старатели,По именам
145.2750,Алматы,19 января 2022,NFM,Голос,Любительская,Любительская,Любительские
163.9000,Ставрополь,15 января 2022,NFM,Голос,Сухопутная подвижная,Аэропорт Ставрополь,чиловые + вышка
164.5125,Шереметьево,13 января 2022,цифровая,DMR,Сухопутная подвижная,а/п Шереметьево,
153.2000,Великий Устюг,9 января 2022,NFM,Голос,Сухопутная подвижная,РЖД,ДСП переговаривается с машинистом
163.1250,Санкт-Петербург,9 января 2022,NFM,Голос,Сухопутная подвижная,"аэропорт Пулково, наземная служба",
446.2000,Москва,7 января 2022,NFM,Голос + CTCSS 162.2,Сухопутная подвижная,"Ретранслятор охраны, парк Сокольники","Числовые, Технический, Склад..."
446.05625,Саратов,1 января 2022,NFM,Голос + CTCSS 79.7 Hz,Сухопутная подвижная,"Охрана городского парка ""Лукоморье""",По номерам и именам.
455.5500,Тула,29 декабря 2021,NFM,Голос,Сухопутная подвижная,какая-то стройка,без позывных
402.2250,Санкт-Петербург,27 декабря 2021,NFM,Голос,Сухопутная подвижная,ЧОП ТРК Сити Молл,Не установлены
446.09375,Московская обл.,26 декабря 2021,NFM,"Голос + CTCSS 88,5",Сухопутная подвижная,"Ретранслятор охраны, НТО ""ИРЭ-ПОЛЮС"" Фрязино",Числовые
155.3500,Москва,23 декабря 2021,NFM,Голос,Сухопутная подвижная,РЖД Москва-пассажирская Смоленская,по именам и номерам
158.8250,Ростов-на-Дону,20 ноября 2021,цифровая,DMR,Сухопутная подвижная,Ростовский горгаз,"8814, 8815....."
441.2250,Санкт-Петербург,9 декабря 2021,NFM,Голос,Сухопутная подвижная,Автоинструкторы,отсутствуют
433.1125,Санкт-Петербург,19 декабря 2021,NFM,Голос + CTCSS,Сухопутная подвижная,ТЦ LeoMall охрана,"старший смены, центральный вход и пр."
446.0125,Московская обл.,19 декабря 2021,NFM,Голос + CTCSS 77.0,Сухопутная подвижная,"Ретранслятор охраны бизнес-квартала ""Парк Мира""",Числовые
6.1550,Саратов,19 декабря 2021,АМ,Голос,Радиовещательная,Япония,NHK World Japan Radio
3.9400,Саратов,19 декабря 2021,АМ,Голос,иное (см. комментарий),Пиратская музыкальная радиостанция,"""Радио бухта свободных волн"""
150.1500,Заринск,17 декабря 2021,NFM,Голос,Сухопутная подвижная,"Автономная добровольная спасательная организация ""Интерспас""","Омега, Таир, 203, 205, 290"
10.7550,Саратов,16 декабря 2021,АМ,Голос,Номерная станция,CIS,"G06 YL ""German Lady"""
6.1850,Саратов,16 декабря 2021,АМ,Голос,Радиовещательная,США,Adventist World Radio
6.1500,Саратов,16 декабря 2021,АМ,Голос,Радиовещательная,Румыния,Международное Радио Румынии
89.2000,Сочи,14 декабря 2021,WFM,Голос,Радиовещательная,Радио Маяк,
88.3000,Сочи,14 декабря 2021,WFM,Голос,Радиовещательная,Радио России Кубань,
87.5000,Сочи,14 декабря 2021,WFM,Голос,Радиовещательная,Вести FM,
41.7000,Асбест,13 декабря 2021,NFM,Голос,Сухопутная подвижная,"ПАО ""Ураласбест""","Фреска-1, Фреска-2, номера экскаваторов"
7.2650,Саратов,13 декабря 2021,АМ,Голос,Радиовещательная,Япония,NHK World Japan Radio
439.3250,Южно-Сахалинск,12 декабря 2021,NFM,Голос,Сухопутная подвижная,Охрана автостоянки,без позывных
462.6750,Московская обл. Балашиха,11 декабря 2021,NFM,Голос + DCS  172,Сухопутная подвижная,"охрана ГМ Глобус Балашиха (""ЧОО Альфа-Ингул"")",По номерам постов и именам.
462.6750,Москва,11 декабря 2021,NFM,Голос + DCS 172,Сухопутная подвижная,"охрана ГМ Глобус Коммунарка (""ЧОО Альфа-Ингул"")",По номерам постов и именам.
46.6500,Асбест,10 декабря 2021,NFM,Голос,Сухопутная подвижная,"АО ""Водоканал""","071, 080"
1.1070,Семилуки,8 декабря 2021,AM,Голос,Радиовещательная,Афганистан,Voice of Sharia
145.7250,Асбест,8 декабря 2021,NFM,Голос + CTCSS,Любительская,Репитер города Асбест,В большинстве официальные позывные
433.8250,Асбест,8 декабря 2021,NFM,Голос,Сухопутная подвижная,"Охрана ТЦ ""Райт""","Первый, Второй, Александр, и другие"
658.0000,Архангельская обл.,20 ноября 2021,цифровая,DVB-T2,Радиовещательная,"Котлас, пакет телеканалов РТРС-2",
506.0000,Архангельская обл.,20 ноября 2021,цифровая,DVB-T2,Радиовещательная,"Котлас, пакет телеканалов РТРС-1",
152.5500,Архангельская обл.,4 декабря 2021,NFM,Голос,Сухопутная подвижная,"РЖД, ст.Котлас-Узловой","фамилии, номера поездов, локомотивов"
151.8250,Архангельская обл.,4 декабря 2021,NFM,Голос,Сухопутная подвижная,"РЖД, ст.Котлас-Узловой","фамилии, номера поездов, локомотивов"
152.9500,Архангельская обл.,4 декабря 2021,NFM,Голос,Сухопутная подвижная,"РЖД, ст.Котлас-Южный","фамилии, номера поездов, локомотивов"
152.3750,Архангельская обл.,4 декабря 2021,NFM,Голос,Сухопутная подвижная,"РЖД, ст.Котлас-Южный","фамилии, номера поездов, локомотивов"
